FID;field_1;field_2;x;y
288;309573,609835225972347;4606987,018735590390861;309574,0000000;4606990,0000000
289;310045,176047198008746;4623094,834991049952805;310045,0000000;4623100,0000000
290;310188,079071708023548;4620229,743402759544551;310188,0000000;4620230,0000000
291;304734,656331005971879;4624296,467804649844766;304735,0000000;4624300,0000000
292;306422,415473814005964;4612573,236931139603257;306422,0000000;4612570,0000000
293;301808,408931852027308;4603194,338776730000973;301808,0000000;4603190,0000000
294;301831,438305880001280;4602425,703491630032659;301831,0000000;4602430,0000000
295;307096,050656989973504;4610291,441660660319030;307096,0000000;4610290,0000000
296;316667,246083941019606;4612972,231039539910853;316667,0000000;4612970,0000000
297;316586,462360121018719;4623508,741417420096695;316586,0000000;4623510,0000000
298;288834,411647188011557;4597467,341240829788148;288834,0000000;4597470,0000000
299;311691,791989376011770;4605861,574391819536686;311692,0000000;4605860,0000000
300;294827,299810415017419;4605004,763218689709902;294827,0000000;4605000,0000000
301;287557,741015548992436;4623484,778034449554980;287558,0000000;4623480,0000000
302;317323,199656146985944;4624133,914459129795432;317323,0000000;4624130,0000000
303;316173,962201928021386;4603356,400476650334895;316174,0000000;4603360,0000000
304;282255,129486515012104;4594689,142689879983664;282255,0000000;4594690,0000000
305;305020,400027193012647;4614302,261471670120955;305020,0000000;4614300,0000000
306;281465,324505580996629;4591569,250903179869056;281465,0000000;4591570,0000000
307;301803,968799832975492;4605289,601186710409820;301804,0000000;4605290,0000000
308;294289,507300128985662;4601521,590200640261173;294290,0000000;4601520,0000000
309;293786,003791227005422;4601499,073237939737737;293786,0000000;4601500,0000000
310;303022,159501674992498;4619091,258916160091758;303022,0000000;4619090,0000000
311;308277,082316485000774;4611296,940377630293369;308277,0000000;4611300,0000000
312;286954,640282623993699;4595807,570521919988096;286955,0000000;4595810,0000000
313;312653,595325706992298;4596096,395488499663770;312654,0000000;4596100,0000000
314;295535,659655091993045;4605285,308914310298860;295536,0000000;4605290,0000000
315;296359,075618174974807;4601764,327609820291400;296359,0000000;4601760,0000000
316;285128,519909229013138;4625319,222644230350852;285129,0000000;4625320,0000000
317;302631,251143286994193;4615442,770980049856007;302631,0000000;4615440,0000000
318;308366,999415029014926;4602860,927294899709523;308367,0000000;4602860,0000000
319;290752,834723899024539;4603205,832599310204387;290753,0000000;4603210,0000000
320;278949,024851643014699;4589457,402105550281703;278949,0000000;4589460,0000000
321;307729,906453423027415;4611689,439369830302894;307730,0000000;4611690,0000000
322;297760,024539973004721;4602129,109697500243783;297760,0000000;4602130,0000000
323;306086,624185847991612;4616022,626092489808798;306087,0000000;4616020,0000000
324;317885,921306747011840;4625215,662368469871581;317886,0000000;4625220,0000000
